Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
80,15.896,Yes,0.671,Yes,6,Yes,45.32,171.57,-2.14,6.92,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.5,35.9,True_Positive,
81,16.070,Yes,0.654,Yes,6,Yes,47.45,173.27,-1.92,7.30,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.4,35.3,True_Positive,
82,16.242,Yes,0.628,Yes,6,Yes,45.34,176.53,-0.76,7.30,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.6,35.7,True_Positive,
83,16.414,Yes,0.608,Yes,6,Yes,44.78,179.71,0.58,7.30,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.6,35.5,True_Positive,
84,16.595,Yes,0.640,Yes,6,Yes,-6.33,168.97,-6.91,9.31,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe_enh3,11.1,49.0,True_Positive,
85,16.778,Yes,0.627,Yes,6,Yes,47.77,164.98,173.11,7.30,0.00,NONE,No,No,0.00,face_yolo_mediapipe_enh2,10.4,44.3,True_Positive,
86,16.960,Yes,0.623,Yes,6,Yes,39.13,164.31,175.45,6.59,0.00,NONE,No,No,0.00,face_yolo_mediapipe_enh2,10.5,44.4,True_Positive,
87,17.142,Yes,0.665,Yes,6,Yes,45.59,176.74,-7.54,7.71,0.00,NONE,No,No,0.00,face_yolo_mediapipe_enh2,10.5,44.8,True_Positive,
88,17.316,Yes,0.689,Yes,6,Yes,46.50,169.04,-7.01,7.11,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.4,36.5,True_Positive,
89,17.503,Yes,0.720,Yes,6,Yes,-29.27,175.07,-176.46,7.30,0.00,NONE,No,No,0.00,face_yolo_geometric,10.4,48.6,True_Positive,
90,17.687,Yes,0.733,Yes,6,Yes,46.23,176.08,-1.08,7.11,0.00,NONE,No,No,0.00,face_yolo_mediapipe_enh2,10.3,45.6,True_Positive,
91,17.863,Yes,0.748,Yes,6,Yes,43.10,-179.49,0.65,7.11,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.4,35.9,True_Positive,
92,18.036,Yes,0.728,Yes,6,Yes,47.21,178.52,0.86,7.30,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.5,35.3,True_Positive,
93,18.215,Yes,0.734,Yes,6,Yes,29.98,-169.13,0.73,6.14,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.8,35.4,True_Positive,
94,18.390,Yes,0.759,Yes,6,Yes,18.38,-166.60,-0.05,6.00,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,10.3,35.9,True_Positive,
95,18.563,Yes,0.753,Yes,6,Yes,14.13,-170.25,0.23,5.87,0.00,NONE,Yes,No,0.18,face_yolo_mediapipe,10.4,34.8,True_Positive,
96,18.731,Yes,0.751,Yes,6,Yes,10.83,-171.30,-1.13,5.87,0.00,NONE,Yes,No,0.35,face_yolo_mediapipe,11.0,34.6,True_Positive,
97,18.910,Yes,0.754,Yes,6,Yes,-10.55,-169.92,-2.17,6.14,0.00,NONE,Yes,No,0.52,face_yolo_mediapipe,10.0,37.0,True_Positive,
98,19.083,Yes,0.745,Yes,6,Yes,-10.84,-170.20,-1.80,5.87,0.00,NONE,Yes,No,0.69,face_yolo_mediapipe,10.3,34.6,True_Positive,
99,19.258,Yes,0.727,Yes,6,Yes,-11.42,-172.41,-0.88,6.00,0.00,NONE,Yes,No,0.87,face_yolo_mediapipe,10.3,35.1,True_Positive,
100,19.430,Yes,0.746,Yes,6,Yes,-13.97,-174.84,-1.03,6.00,0.00,NONE,Yes,No,1.04,face_yolo_mediapipe,10.5,34.9,True_Positive,
101,19.608,Yes,0.700,Yes,6,Yes,7.85,-172.88,2.45,6.00,0.00,NONE,Yes,No,1.22,face_yolo_mediapipe,10.1,36.4,True_Positive,
102,19.783,Yes,0.684,Yes,6,Yes,8.59,-176.89,1.69,6.00,0.00,NONE,Yes,No,1.39,face_yolo_mediapipe,10.4,36.1,True_Positive,
103,19.956,Yes,0.693,Yes,6,Yes,-11.18,-173.92,-0.58,6.00,0.00,NONE,Yes,No,1.57,face_yolo_mediapipe,10.4,35.5,True_Positive,
104,20.129,Yes,0.691,Yes,6,Yes,-13.33,-173.28,-3.24,5.74,0.00,NONE,Yes,No,1.74,face_yolo_mediapipe,10.5,35.3,True_Positive,
105,20.305,Yes,0.729,Yes,6,Yes,-21.49,-172.52,-4.10,5.87,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.2,35.4,True_Positive,
106,20.479,Yes,0.776,Yes,6,Yes,-12.08,-167.24,-2.25,6.00,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,10.4,36.4,True_Positive,
107,20.652,Yes,0.759,Yes,6,Yes,1.51,-170.61,-0.18,6.00,0.00,NONE,Yes,No,0.17,face_yolo_mediapipe,10.5,35.9,True_Positive,
108,20.820,Yes,0.752,Yes,6,Yes,4.48,-172.57,0.13,5.87,0.00,NONE,Yes,No,0.35,face_yolo_mediapipe,11.1,35.9,True_Positive,
109,20.996,Yes,0.745,Yes,6,Yes,0.93,-172.25,-0.27,6.00,0.00,NONE,Yes,No,0.52,face_yolo_mediapipe,10.3,36.1,True_Positive,
110,21.166,Yes,0.764,Yes,6,Yes,-2.55,-165.51,-1.01,5.74,0.00,NONE,Yes,No,0.69,face_yolo_mediapipe,10.7,35.0,True_Positive,
111,21.339,Yes,0.752,Yes,6,Yes,0.44,-168.00,-0.39,5.87,0.00,NONE,Yes,No,0.86,face_yolo_mediapipe,10.4,34.7,True_Positive,
112,21.511,Yes,0.740,Yes,6,Yes,-9.99,-166.37,-3.64,5.87,0.00,NONE,Yes,No,1.03,face_yolo_mediapipe,10.6,35.2,True_Positive,
113,21.686,Yes,0.765,Yes,6,Yes,-1.68,-164.71,-3.29,5.87,0.00,NONE,Yes,No,1.21,face_yolo_mediapipe,10.3,35.8,True_Positive,
114,21.860,Yes,0.766,Yes,6,Yes,-11.29,-171.36,-4.29,6.00,0.00,NONE,Yes,No,1.38,face_yolo_mediapipe,10.5,35.6,True_Positive,
115,22.032,Yes,0.769,Yes,6,Yes,-0.16,-170.52,-2.25,6.00,0.00,NONE,Yes,No,1.56,face_yolo_mediapipe,10.5,34.9,True_Positive,
116,22.204,Yes,0.756,Yes,6,Yes,-4.59,-167.87,-2.60,6.00,0.00,NONE,Yes,No,1.73,face_yolo_mediapipe,10.5,35.1,True_Positive,
117,22.378,Yes,0.729,Yes,6,Yes,13.76,-169.48,-0.59,6.14,0.00,NONE,Yes,No,1.90,face_yolo_mediapipe,10.3,34.9,True_Positive,
118,22.548,Yes,0.680,Yes,6,Yes,3.63,-169.58,-1.20,5.87,0.00,NONE,Yes,No,2.07,face_yolo_mediapipe,10.6,34.2,True_Positive,
119,22.723,Yes,0.659,Yes,6,Yes,5.44,-171.37,-1.00,6.00,0.00,NONE,Yes,No,2.25,face_yolo_mediapipe,10.4,35.3,True_Positive,
120,22.890,Yes,0.703,Yes,6,Yes,-2.60,-168.54,-2.68,6.00,0.00,NONE,Yes,No,2.42,face_yolo_mediapipe,11.1,35.6,True_Positive,
121,23.066,Yes,0.746,Yes,6,Yes,4.46,-173.34,0.89,6.00,0.00,NONE,Yes,No,2.59,face_yolo_mediapipe,10.2,35.3,True_Positive,
122,23.238,Yes,0.737,Yes,6,Yes,5.69,-171.77,-0.42,6.14,0.00,NONE,Yes,No,2.76,face_yolo_mediapipe,10.4,34.6,True_Positive,
123,23.412,Yes,0.716,Yes,6,Yes,2.36,-176.26,-0.11,6.00,0.00,NONE,Yes,No,2.93,face_yolo_mediapipe,10.4,35.3,True_Positive,
124,23.584,Yes,0.741,Yes,6,Yes,-19.97,-168.63,-1.52,6.43,0.00,NONE,Yes,Yes,3.11,face_yolo_mediapipe,10.5,35.1,True_Positive,
125,23.762,Yes,0.725,Yes,6,Yes,-20.03,-174.12,-1.12,6.43,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.1,35.4,True_Positive,
126,23.932,Yes,0.727,Yes,6,Yes,-12.09,-171.02,-0.51,6.14,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,10.5,34.5,True_Positive,
127,24.107,Yes,0.743,Yes,6,Yes,-14.51,-158.72,-1.63,6.14,0.00,NONE,Yes,No,0.17,face_yolo_mediapipe,10.3,35.6,True_Positive,
128,24.280,Yes,0.744,Yes,6,Yes,-18.99,-169.08,0.28,6.14,0.00,NONE,Yes,No,0.35,face_yolo_mediapipe,10.5,35.7,True_Positive,
129,24.454,Yes,0.743,Yes,6,Yes,-12.08,-167.13,0.00,6.14,0.00,NONE,Yes,No,0.52,face_yolo_mediapipe,10.3,34.2,True_Positive,
130,24.628,Yes,0.742,Yes,6,Yes,-18.14,-165.50,-1.35,6.28,0.00,NONE,Yes,No,0.69,face_yolo_mediapipe,10.4,35.4,True_Positive,
131,24.791,Yes,0.741,Yes,6,Yes,-15.80,-163.81,-1.25,6.14,0.00,NONE,Yes,No,0.87,face_yolo_mediapipe,11.8,35.8,False_Positive,
132,24.959,Yes,0.743,Yes,6,Yes,-13.04,-168.25,-0.75,6.14,0.00,NONE,Yes,No,1.03,face_yolo_mediapipe,11.1,35.8,True_Positive,
133,25.134,Yes,0.735,Yes,6,Yes,-25.88,-168.50,0.15,6.59,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.3,35.5,True_Positive,
134,25.306,Yes,0.727,Yes,6,Yes,-9.35,-162.08,-0.14,6.14,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,10.5,34.4,True_Positive,
135,25.468,Yes,0.736,Yes,6,Yes,-6.11,-165.77,0.77,6.14,0.00,NONE,Yes,No,0.17,face_yolo_mediapipe,11.8,34.6,False_Positive,
136,25.641,Yes,0.730,Yes,6,Yes,-13.86,-167.55,-3.14,6.00,0.00,NONE,Yes,No,0.33,face_yolo_mediapipe,10.4,34.8,True_Positive,
137,25.815,Yes,0.764,Yes,6,Yes,-23.56,-169.01,-2.29,6.14,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.4,36.4,True_Positive,
138,25.989,Yes,0.767,Yes,6,Yes,-11.14,-165.15,-1.76,6.00,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,10.5,36.3,True_Positive,
139,26.151,Yes,0.762,Yes,6,Yes,0.31,-163.57,1.14,6.00,0.00,NONE,Yes,No,0.17,face_yolo_mediapipe,11.8,35.9,False_Positive,
140,26.323,Yes,0.762,Yes,6,Yes,-14.45,-170.42,-3.82,5.87,0.00,NONE,Yes,No,0.34,face_yolo_mediapipe,10.6,34.5,True_Positive,
141,26.497,Yes,0.763,Yes,6,Yes,-8.57,-169.29,-1.75,5.87,0.00,NONE,Yes,No,0.51,face_yolo_mediapipe,10.4,35.9,True_Positive,
142,26.670,Yes,0.749,Yes,6,Yes,17.59,-170.56,1.67,6.00,0.00,NONE,Yes,No,0.68,face_yolo_mediapipe,10.5,36.0,True_Positive,
143,26.842,Yes,0.758,Yes,6,Yes,-11.37,-170.16,0.35,5.87,0.00,NONE,Yes,No,0.85,face_yolo_mediapipe,10.5,36.1,True_Positive,
144,27.010,Yes,0.764,Yes,6,Yes,-10.60,-166.35,0.77,5.74,0.00,NONE,Yes,No,1.03,face_yolo_mediapipe,11.1,35.1,True_Positive,
145,27.185,Yes,0.761,Yes,6,Yes,-24.18,-168.80,0.09,6.43,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.3,36.3,True_Positive,
146,27.358,Yes,0.760,Yes,6,Yes,-23.90,-165.24,0.61,6.43,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.5,36.0,True_Positive,
147,27.532,Yes,0.747,Yes,6,Yes,-34.90,-170.28,1.38,6.59,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.4,35.6,True_Positive,
148,27.706,Yes,0.689,Yes,6,Yes,-37.21,-167.93,1.21,6.75,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.4,36.0,True_Positive,
149,27.885,Yes,0.633,Yes,6,Yes,-31.55,-171.41,1.94,6.43,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.1,36.8,True_Positive,
150,28.055,Yes,0.693,Yes,6,Yes,-42.18,-178.10,5.94,6.75,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.5,34.0,True_Positive,
151,28.229,Yes,0.705,Yes,6,Yes,-37.75,-174.29,1.40,6.75,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.4,36.1,True_Positive,
152,28.401,Yes,0.693,Yes,6,Yes,-39.42,-170.06,0.68,6.75,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.6,35.4,True_Positive,
153,28.576,Yes,0.717,Yes,6,Yes,-35.00,-167.59,2.61,6.92,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.3,35.8,True_Positive,
154,28.751,Yes,0.721,Yes,6,Yes,-48.05,167.85,-165.85,7.94,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.4,35.6,True_Positive,
