Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
71,12.144,Yes,0.591,Yes,6,Yes,-3.95,-175.93,-0.56,12.31,0.00,NONE,Yes,Yes,7.29,face_yolo_mediapipe,12.9,34.9,True_Positive,
72,12.295,Yes,0.609,Yes,6,Yes,-1.97,179.53,-1.43,12.31,0.00,NONE,Yes,Yes,7.44,face_yolo_mediapipe,12.5,34.6,True_Positive,
73,12.440,Yes,0.635,Yes,6,Yes,10.90,-171.41,-0.95,12.31,0.00,NONE,Yes,Yes,7.59,face_yolo_mediapipe,13.5,33.8,True_Positive,
74,12.588,Yes,0.639,Yes,6,Yes,3.29,-174.01,-1.29,12.31,0.00,NONE,Yes,Yes,7.74,face_yolo_mediapipe,13.2,35.1,True_Positive,
75,12.739,Yes,0.669,Yes,6,Yes,-15.71,-175.58,-4.16,12.31,0.00,NONE,Yes,Yes,7.89,face_yolo_mediapipe,12.7,35.0,True_Positive,
76,12.886,Yes,0.615,Yes,6,Yes,-3.90,-166.79,-3.37,12.31,0.00,NONE,Yes,Yes,8.04,face_yolo_mediapipe,13.2,34.1,True_Positive,
77,13.033,Yes,0.634,Yes,6,Yes,-5.84,-169.57,-3.67,11.71,0.00,NONE,Yes,Yes,8.18,face_yolo_mediapipe,13.4,35.8,True_Positive,
78,13.180,Yes,0.561,Yes,6,Yes,-5.29,-164.73,-2.07,12.31,0.00,NONE,Yes,Yes,8.33,face_yolo_mediapipe,13.4,34.7,True_Positive,
79,13.327,Yes,0.681,Yes,6,Yes,-1.66,-173.71,-0.89,11.71,0.00,NONE,Yes,Yes,8.48,face_yolo_mediapipe,13.3,34.6,True_Positive,
80,13.474,Yes,0.679,Yes,6,Yes,-7.30,-175.47,-1.90,12.31,0.00,NONE,Yes,Yes,8.63,face_yolo_mediapipe,13.5,35.8,True_Positive,
81,13.620,Yes,0.650,Yes,6,Yes,2.29,-170.40,-0.57,12.00,0.00,NONE,Yes,Yes,8.77,face_yolo_mediapipe,13.5,34.7,True_Positive,
82,13.768,Yes,0.666,Yes,6,Yes,-6.20,-176.81,177.98,12.00,0.00,NONE,Yes,Yes,8.92,face_yolo_mediapipe,13.4,35.8,True_Positive,
83,13.915,Yes,0.659,Yes,6,Yes,-2.96,-178.89,178.80,12.00,0.00,NONE,Yes,Yes,9.07,face_yolo_mediapipe,13.4,35.0,True_Positive,
84,14.066,Yes,0.674,Yes,6,Yes,-5.28,-179.77,-1.54,12.00,0.00,NONE,Yes,Yes,9.21,face_yolo_mediapipe,12.5,34.5,True_Positive,
85,14.214,Yes,0.654,Yes,6,Yes,-3.36,-178.34,-1.52,12.00,0.00,NONE,Yes,Yes,9.36,face_yolo_mediapipe,13.3,35.2,True_Positive,
86,14.368,Yes,0.641,Yes,6,Yes,-4.78,-177.55,-1.78,12.00,0.00,NONE,Yes,Yes,9.51,face_yolo_mediapipe,12.4,36.5,True_Positive,
87,14.517,Yes,0.619,Yes,6,Yes,-3.68,178.68,177.82,11.71,0.00,NONE,Yes,Yes,9.67,face_yolo_mediapipe,12.9,35.0,True_Positive,
88,14.663,Yes,0.627,Yes,6,Yes,-12.00,-177.52,-2.43,11.71,0.00,NONE,Yes,Yes,9.82,face_yolo_mediapipe,13.3,33.4,True_Positive,
89,14.813,Yes,0.627,Yes,6,Yes,-12.33,179.68,-0.60,12.00,0.00,NONE,Yes,Yes,9.96,face_yolo_mediapipe,13.0,35.2,True_Positive,
90,14.960,Yes,0.650,Yes,6,Yes,1.38,-173.05,-0.23,12.00,0.00,NONE,Yes,Yes,10.11,face_yolo_mediapipe,13.4,34.8,True_Positive,
91,15.108,Yes,0.655,Yes,6,Yes,-1.43,-173.48,-2.01,12.00,0.00,NONE,Yes,Yes,10.26,face_yolo_mediapipe,13.0,33.6,True_Positive,
92,15.254,Yes,0.649,Yes,6,Yes,-36.33,166.79,-5.84,9.60,0.00,NONE,No,No,0.00,face_yolo_mediapipe,13.5,34.7,True_Positive,
93,15.401,Yes,0.637,Yes,6,Yes,-32.84,167.87,-5.56,9.80,0.00,NONE,No,No,0.00,face_yolo_mediapipe,13.2,34.3,True_Positive,
94,15.546,Yes,0.615,Yes,6,Yes,-20.52,-175.36,-3.51,12.63,0.00,NONE,No,No,0.00,face_yolo_mediapipe,13.5,34.4,True_Positive,
95,15.694,Yes,0.609,Yes,6,Yes,-5.12,-175.88,-2.48,11.71,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,12.9,34.4,True_Positive,
96,15.848,Yes,0.606,Yes,6,Yes,-4.87,179.23,177.69,12.00,0.00,NONE,Yes,No,0.15,face_yolo_mediapipe,12.4,36.1,True_Positive,
97,15.994,Yes,0.635,Yes,6,Yes,-6.29,-175.35,-2.95,11.43,0.00,NONE,Yes,No,0.30,face_yolo_mediapipe,13.4,34.7,True_Positive,
98,16.140,Yes,0.662,Yes,6,Yes,-5.85,-176.22,-2.10,11.71,0.00,NONE,Yes,No,0.45,face_yolo_mediapipe,13.7,35.2,True_Positive,
99,16.287,Yes,0.678,Yes,6,Yes,-6.37,178.89,178.01,12.00,0.00,NONE,Yes,No,0.59,face_yolo_mediapipe,13.2,34.2,True_Positive,
100,16.435,Yes,0.672,Yes,6,Yes,-5.21,177.51,178.72,11.71,0.00,NONE,Yes,No,0.74,face_yolo_mediapipe,13.3,35.3,True_Positive,
101,16.582,Yes,0.664,Yes,6,Yes,-0.17,178.90,178.91,11.71,0.00,NONE,Yes,No,0.89,face_yolo_mediapipe,13.4,35.3,True_Positive,
102,16.731,Yes,0.663,Yes,6,Yes,2.22,178.54,178.29,11.71,0.00,NONE,Yes,No,1.04,face_yolo_mediapipe,13.3,35.9,True_Positive,
103,16.886,Yes,0.656,Yes,6,Yes,-5.97,-176.35,-1.94,11.71,0.00,NONE,Yes,No,1.19,face_yolo_mediapipe,11.9,34.5,True_Positive,
104,17.032,Yes,0.666,Yes,6,Yes,-1.38,-176.20,178.70,11.71,0.00,NONE,Yes,No,1.34,face_yolo_mediapipe,13.5,35.0,True_Positive,
105,17.177,Yes,0.687,Yes,6,Yes,-6.97,-170.81,-1.69,11.71,0.00,NONE,Yes,No,1.49,face_yolo_mediapipe,13.6,34.8,True_Positive,
106,17.323,Yes,0.681,Yes,6,Yes,-7.58,-173.71,-3.01,11.43,0.00,NONE,Yes,No,1.63,face_yolo_mediapipe,13.5,35.1,True_Positive,
107,17.469,Yes,0.671,Yes,6,Yes,-3.96,-173.90,-2.27,11.71,0.00,NONE,Yes,No,1.78,face_yolo_mediapipe,13.2,33.8,True_Positive,
108,17.621,Yes,0.670,Yes,6,Yes,-6.61,-174.35,-2.04,11.43,0.00,NONE,Yes,No,1.92,face_yolo_mediapipe,12.4,34.8,True_Positive,
109,17.767,Yes,0.671,Yes,6,Yes,-7.53,-178.04,177.81,11.71,0.00,NONE,Yes,No,2.08,face_yolo_mediapipe,13.6,35.0,True_Positive,
110,17.914,Yes,0.672,Yes,6,Yes,-7.61,-173.90,-2.60,11.43,0.00,NONE,Yes,No,2.22,face_yolo_mediapipe,13.3,35.3,True_Positive,
111,18.061,Yes,0.673,Yes,6,Yes,-4.62,-177.55,178.32,11.43,0.00,NONE,Yes,No,2.37,face_yolo_mediapipe,13.3,35.2,True_Positive,
112,18.207,Yes,0.696,Yes,6,Yes,-3.75,-175.21,-1.92,11.16,0.00,NONE,Yes,No,2.52,face_yolo_mediapipe,13.4,34.1,True_Positive,
113,18.353,Yes,0.694,Yes,6,Yes,-0.16,-176.86,178.25,11.43,0.00,NONE,Yes,No,2.66,face_yolo_mediapipe,13.5,35.3,True_Positive,
114,18.499,Yes,0.667,Yes,6,Yes,-2.61,-173.56,-1.41,11.16,0.00,NONE,Yes,No,2.81,face_yolo_mediapipe,13.5,35.1,True_Positive,
115,18.647,Yes,0.655,Yes,6,Yes,-4.08,-172.65,-1.59,11.16,0.00,NONE,Yes,No,2.95,face_yolo_mediapipe,13.3,35.3,True_Positive,
116,18.795,Yes,0.661,Yes,6,Yes,-3.39,-174.15,-1.93,11.16,0.00,NONE,Yes,Yes,3.10,face_yolo_mediapipe,13.3,34.9,True_Positive,
117,18.942,Yes,0.687,Yes,6,Yes,-2.76,-171.62,-2.20,11.16,0.00,NONE,Yes,Yes,3.25,face_yolo_mediapipe,13.3,34.7,True_Positive,
118,19.088,Yes,0.688,Yes,6,Yes,-2.48,-177.56,178.05,11.16,0.00,NONE,Yes,Yes,3.40,face_yolo_mediapipe,13.4,34.1,True_Positive,
119,19.234,Yes,0.636,Yes,6,Yes,11.18,-172.29,-0.05,10.67,0.00,NONE,Yes,Yes,3.54,face_yolo_mediapipe,13.2,33.9,True_Positive,
120,19.390,Yes,0.681,Yes,6,Yes,2.07,-174.03,-0.75,10.67,0.00,NONE,Yes,Yes,3.69,face_yolo_mediapipe,12.3,37.0,True_Positive,
121,19.536,Yes,0.703,Yes,6,Yes,-3.86,-176.91,177.74,10.91,0.00,NONE,Yes,Yes,3.84,face_yolo_mediapipe,13.4,34.1,True_Positive,
122,19.683,Yes,0.686,Yes,6,Yes,2.53,-176.90,178.79,10.43,0.00,NONE,Yes,Yes,3.99,face_yolo_mediapipe,13.4,34.4,True_Positive,
123,19.831,Yes,0.699,Yes,6,Yes,-9.47,177.95,178.65,10.43,0.00,NONE,Yes,Yes,4.14,face_yolo_mediapipe,12.8,33.9,True_Positive,
124,19.980,Yes,0.722,Yes,6,Yes,6.35,-176.80,178.51,10.67,0.00,NONE,Yes,Yes,4.29,face_yolo_mediapipe,12.9,34.7,True_Positive,
125,20.128,Yes,0.671,Yes,6,Yes,-1.67,-179.52,178.19,10.21,0.00,NONE,Yes,Yes,4.43,face_yolo_mediapipe,13.2,35.4,True_Positive,
126,20.277,Yes,0.725,Yes,6,Yes,-4.93,-179.05,177.80,10.43,0.00,NONE,Yes,Yes,4.58,face_yolo_mediapipe,13.0,34.5,True_Positive,
127,20.427,Yes,0.703,Yes,6,Yes,-1.02,178.74,178.43,10.43,0.00,NONE,Yes,Yes,4.73,face_yolo_mediapipe,12.9,35.4,True_Positive,
128,20.576,Yes,0.722,Yes,6,Yes,-2.44,177.32,-0.89,9.80,0.00,NONE,Yes,Yes,4.88,face_yolo_mediapipe,13.1,34.9,True_Positive,
129,20.726,Yes,0.746,Yes,6,Yes,-2.74,-179.07,179.06,10.00,0.00,NONE,Yes,Yes,5.03,face_yolo_mediapipe,12.8,35.8,True_Positive,
130,20.874,Yes,0.721,Yes,6,Yes,-2.24,-171.30,-0.87,9.80,0.00,NONE,Yes,Yes,5.18,face_yolo_mediapipe,13.3,35.1,True_Positive,
131,21.025,Yes,0.717,Yes,6,Yes,-0.80,-173.97,1.42,9.60,0.00,NONE,Yes,Yes,5.33,face_yolo_mediapipe,12.5,33.7,True_Positive,
132,21.179,Yes,0.730,Yes,6,Yes,-8.19,176.78,-0.20,9.23,0.00,NONE,Yes,Yes,5.48,face_yolo_mediapipe,12.4,36.7,True_Positive,
133,21.328,Yes,0.739,Yes,6,Yes,-8.10,170.78,-179.62,9.60,0.00,NONE,Yes,Yes,5.63,face_yolo_mediapipe,13.2,35.7,True_Positive,
134,21.478,Yes,0.735,Yes,6,Yes,-5.45,-179.83,-0.81,9.60,0.00,NONE,Yes,Yes,5.78,face_yolo_mediapipe,13.0,35.7,True_Positive,
135,21.625,Yes,0.727,Yes,6,Yes,-1.87,174.30,179.51,9.60,0.00,NONE,Yes,Yes,5.93,face_yolo_mediapipe,13.2,34.3,True_Positive,
136,21.774,Yes,0.691,Yes,6,Yes,-13.50,169.75,-178.01,9.80,0.00,NONE,Yes,Yes,6.08,face_yolo_mediapipe,13.1,36.0,True_Positive,
137,21.921,Yes,0.654,Yes,6,Yes,-10.75,175.17,0.06,9.60,0.00,NONE,Yes,Yes,6.23,face_yolo_mediapipe,13.4,34.6,True_Positive,
138,22.068,Yes,0.654,Yes,6,Yes,-8.27,171.41,-179.76,9.41,0.00,NONE,Yes,Yes,6.38,face_yolo_mediapipe,13.2,34.8,True_Positive,
139,22.217,Yes,0.711,Yes,6,Yes,-13.29,174.83,-0.59,9.23,0.00,NONE,Yes,Yes,6.52,face_yolo_mediapipe,13.1,34.5,True_Positive,
140,22.364,Yes,0.715,Yes,6,Yes,-12.20,176.05,-0.25,9.41,0.00,NONE,Yes,Yes,6.67,face_yolo_mediapipe,13.3,34.5,True_Positive,
141,22.510,Yes,0.738,Yes,6,Yes,-13.66,174.89,-0.84,9.41,0.00,NONE,Yes,Yes,6.82,face_yolo_mediapipe,13.5,34.4,True_Positive,
142,22.655,Yes,0.721,Yes,6,Yes,-12.39,174.51,0.15,9.23,0.00,NONE,Yes,Yes,6.96,face_yolo_mediapipe,13.6,35.0,True_Positive,
143,22.803,Yes,0.721,Yes,6,Yes,-14.11,168.98,-178.17,9.23,0.00,NONE,Yes,Yes,7.11,face_yolo_mediapipe,13.2,33.8,True_Positive,
144,22.956,Yes,0.719,Yes,6,Yes,-15.80,175.83,-0.46,9.23,0.00,NONE,Yes,Yes,7.26,face_yolo_mediapipe,12.4,35.5,True_Positive,
145,23.102,Yes,0.702,Yes,6,Yes,-12.46,175.95,-0.08,9.41,0.00,NONE,Yes,Yes,7.41,face_yolo_mediapipe,13.4,33.6,True_Positive,
146,23.249,Yes,0.721,Yes,6,Yes,-14.35,176.92,-0.17,9.41,0.00,NONE,Yes,Yes,7.56,face_yolo_mediapipe,13.4,34.7,True_Positive,
147,23.396,Yes,0.740,Yes,6,Yes,-11.43,174.07,-0.50,9.06,0.00,NONE,Yes,Yes,7.70,face_yolo_mediapipe,13.3,34.8,True_Positive,
148,23.544,Yes,0.731,Yes,6,Yes,-12.43,176.39,-0.72,9.41,0.00,NONE,Yes,Yes,7.85,face_yolo_mediapipe,13.4,35.9,True_Positive,
149,23.689,Yes,0.699,Yes,6,Yes,-15.86,177.84,-0.63,9.06,0.00,NONE,Yes,Yes,8.00,face_yolo_mediapipe,13.5,34.0,True_Positive,
150,23.836,Yes,0.726,Yes,6,Yes,-6.11,168.01,-179.75,9.41,0.00,NONE,Yes,Yes,8.14,face_yolo_mediapipe,13.7,36.7,True_Positive,
151,23.984,Yes,0.727,Yes,6,Yes,-3.26,168.81,-179.58,9.23,0.00,NONE,Yes,Yes,8.29,face_yolo_mediapipe,13.4,36.0,True_Positive,
