Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
50,7.453,Yes,0.894,Yes,6,Yes,-3.56,175.66,-179.61,1.31,0.00,NONE,Yes,No,1.49,person_box_geometric,48.9,85.9,False_Positive,
51,7.581,Yes,0.875,Yes,6,Yes,2.00,176.11,179.92,1.35,0.00,NONE,Yes,No,1.61,person_box_geometric,32.1,85.8,True_Positive,
52,7.695,Yes,0.877,Yes,6,Yes,1.43,174.89,179.95,1.32,0.00,NONE,Yes,No,1.74,person_box_geometric,52.2,82.7,False_Positive,
53,7.824,Yes,0.882,Yes,6,Yes,0.94,175.12,179.97,1.32,0.00,NONE,Yes,No,1.85,person_box_geometric,32.3,86.0,True_Positive,
54,7.954,Yes,0.882,Yes,6,Yes,-1.43,175.07,-179.75,1.32,0.00,NONE,Yes,No,1.98,person_box_geometric,30.6,86.3,True_Positive,
55,8.073,Yes,0.905,Yes,6,Yes,0.01,175.40,180.00,1.35,0.00,NONE,Yes,No,2.11,person_box_geometric,50.1,87.7,False_Positive,
56,8.200,Yes,0.903,Yes,6,Yes,-0.57,174.77,-179.98,1.35,0.00,NONE,Yes,No,2.23,person_box_geometric,32.8,85.9,True_Positive,
57,8.318,Yes,0.902,Yes,6,Yes,-1.33,175.81,-179.97,1.35,0.00,NONE,Yes,No,2.35,person_box_geometric,49.8,86.5,False_Positive,
58,8.448,Yes,0.897,Yes,6,Yes,-5.02,175.89,-179.62,1.38,0.00,NONE,Yes,No,2.47,person_box_geometric,31.2,86.7,True_Positive,
59,8.565,Yes,0.881,Yes,6,Yes,-2.79,175.67,-179.93,1.38,0.00,NONE,Yes,No,2.60,person_box_geometric,50.9,86.8,False_Positive,
60,8.694,Yes,0.897,Yes,6,Yes,-3.51,175.62,-179.90,1.41,0.00,NONE,Yes,No,2.72,person_box_geometric,32.0,85.9,True_Positive,
61,8.811,Yes,0.907,Yes,6,Yes,-10.94,176.68,-179.44,1.42,0.00,NONE,Yes,No,2.85,person_box_geometric,50.4,85.3,False_Positive,
