Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
72,21.740,Yes,0.914,Yes,6,Yes,-24.40,160.65,-170.19,0.48,0.00,NONE,No,No,0.00,person_box_geometric,10.4,136.2,True_Positive,
73,22.007,Yes,0.918,Yes,6,Yes,-24.95,161.02,-170.29,0.49,0.00,NONE,No,No,0.00,person_box_geometric,11.0,135.0,False_Positive,
74,22.285,Yes,0.929,Yes,6,Yes,-26.38,161.05,-169.93,0.50,0.00,NONE,No,No,0.00,person_box_geometric,9.7,133.3,True_Positive,
75,22.552,Yes,0.936,Yes,6,Yes,-27.07,161.17,-169.82,0.50,0.00,NONE,No,No,0.00,person_box_geometric,10.8,133.3,False_Positive,
76,22.845,Yes,0.945,Yes,6,Yes,-27.29,161.37,-169.97,0.50,0.00,NONE,No,No,0.00,person_box_geometric,9.1,141.9,True_Positive,
77,23.114,Yes,0.941,Yes,6,Yes,-27.75,161.60,-170.03,0.51,0.00,NONE,No,No,0.00,person_box_geometric,10.6,133.5,False_Positive,
78,23.387,Yes,0.935,Yes,6,Yes,-28.71,161.71,-169.87,0.52,0.00,NONE,No,No,0.00,person_box_geometric,9.7,130.2,True_Positive,
79,23.651,Yes,0.932,Yes,6,Yes,-30.70,161.80,-169.40,0.53,0.00,NONE,No,No,0.00,person_box_geometric,10.9,130.1,False_Positive,
80,23.923,Yes,0.931,Yes,6,Yes,-32.54,161.70,-168.88,0.55,0.00,NONE,No,No,0.00,person_box_geometric,9.7,128.5,True_Positive,
81,24.182,Yes,0.918,Yes,6,Yes,-34.10,161.53,-168.40,0.56,0.00,NONE,No,No,0.00,person_box_geometric,11.0,126.5,False_Positive,
82,24.452,Yes,0.896,Yes,6,Yes,-35.80,160.73,-167.50,0.57,0.00,NONE,No,No,0.00,person_box_geometric,9.7,126.1,True_Positive,
83,24.710,Yes,0.880,Yes,6,Yes,37.76,160.31,166.58,0.59,0.00,NONE,No,No,0.00,person_box_geometric,11.0,125.6,False_Positive,
84,24.981,Yes,0.858,Yes,6,Yes,38.91,160.18,166.11,0.60,0.00,NONE,No,No,0.00,person_box_geometric,10.0,128.9,True_Positive,
85,25.168,Yes,0.511,Yes,6,Yes,9.70,165.16,-177.45,3.18,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe_enh2,10.3,48.5,False_Positive,
86,25.354,Yes,0.623,Yes,6,Yes,21.76,137.74,174.66,3.70,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.3,36.5,True_Positive,
87,25.524,Yes,0.640,Yes,6,Yes,27.03,-175.26,23.11,3.29,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.9,36.5,False_Positive,
88,25.712,Yes,0.640,Yes,6,Yes,-41.92,128.01,-91.04,3.21,0.00,NONE,No,No,0.00,face_yolo_mediapipe_enh1,9.5,41.4,True_Positive,
89,25.882,Yes,0.654,Yes,6,Yes,-38.04,127.11,-92.35,3.00,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.8,36.2,False_Positive,
90,26.061,Yes,0.684,Yes,6,Yes,-38.27,119.71,-92.01,2.93,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.7,35.6,True_Positive,
91,26.231,Yes,0.713,Yes,6,Yes,-41.32,127.04,-95.29,2.50,0.00,NONE,No,No,0.00,face_yolo_mediapipe,11.0,37.7,False_Positive,
92,26.413,Yes,0.716,Yes,6,Yes,-67.18,-153.27,9.59,2.90,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.6,36.0,True_Positive,
93,26.583,Yes,0.728,Yes,6,Yes,49.44,169.76,-159.67,2.67,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.6,35.3,False_Positive,
94,26.762,Yes,0.765,Yes,6,Yes,-65.34,-153.46,6.99,2.67,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.8,36.0,True_Positive,
95,26.928,Yes,0.771,Yes,6,Yes,-37.92,129.02,-104.96,2.41,0.00,NONE,No,No,0.00,face_yolo_mediapipe,11.1,35.0,False_Positive,
96,27.101,Yes,0.763,Yes,6,Yes,-0.03,-90.95,19.54,2.67,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,10.3,34.5,True_Positive,
97,27.269,Yes,0.750,Yes,6,Yes,1.62,-91.29,0.89,2.70,0.00,NONE,Yes,No,0.17,face_yolo_mediapipe,11.1,35.9,False_Positive,
98,27.447,Yes,0.743,Yes,6,Yes,-35.89,122.26,-128.47,2.60,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.9,35.8,True_Positive,
99,27.615,Yes,0.758,Yes,6,Yes,-29.62,-160.15,-4.05,1.96,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.9,35.3,False_Positive,
100,27.795,Yes,0.744,Yes,6,Yes,-25.80,-155.28,-4.78,1.89,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.6,35.9,True_Positive,
101,27.962,Yes,0.753,Yes,6,Yes,-16.28,-152.85,-2.59,1.84,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,11.1,35.8,False_Positive,
102,28.140,Yes,0.772,Yes,6,Yes,-15.91,-152.48,-4.22,1.85,0.00,NONE,Yes,No,0.17,face_yolo_mediapipe,9.8,34.5,True_Positive,
103,28.308,Yes,0.782,Yes,6,Yes,-11.47,-151.16,-3.44,1.79,0.00,NONE,Yes,No,0.35,face_yolo_mediapipe,11.1,36.1,False_Positive,
104,28.486,Yes,0.789,Yes,6,Yes,-8.15,-151.57,-3.14,1.82,0.00,NONE,Yes,No,0.51,face_yolo_mediapipe,9.8,35.6,True_Positive,
105,28.654,Yes,0.794,Yes,6,Yes,-8.44,-153.32,-3.25,1.81,0.00,NONE,Yes,No,0.69,face_yolo_mediapipe,11.0,36.0,False_Positive,
106,28.832,Yes,0.774,Yes,6,Yes,-4.01,-151.95,-2.42,1.84,0.00,NONE,Yes,No,0.86,face_yolo_mediapipe,9.8,35.1,True_Positive,
107,28.997,Yes,0.772,Yes,6,Yes,-4.23,-152.03,-1.81,1.85,0.00,NONE,Yes,No,1.04,face_yolo_mediapipe,11.3,35.8,False_Positive,
108,29.171,Yes,0.788,Yes,6,Yes,-1.96,-152.51,-1.15,1.86,0.00,NONE,Yes,No,1.20,face_yolo_mediapipe,10.3,35.7,True_Positive,
109,29.338,Yes,0.790,Yes,6,Yes,-5.08,-154.34,-2.19,1.85,0.00,NONE,Yes,No,1.38,face_yolo_mediapipe,11.0,35.8,False_Positive,
110,29.516,Yes,0.777,Yes,6,Yes,-1.52,-153.21,-0.49,1.88,0.00,NONE,Yes,No,1.54,face_yolo_mediapipe,9.9,36.4,True_Positive,
111,29.684,Yes,0.789,Yes,6,Yes,-4.08,-154.07,-1.94,1.86,0.00,NONE,Yes,No,1.72,face_yolo_mediapipe,11.0,36.0,False_Positive,
112,29.865,Yes,0.800,Yes,6,Yes,-2.74,-153.61,-1.36,1.86,0.00,NONE,Yes,No,1.89,face_yolo_mediapipe,9.6,35.7,True_Positive,
113,30.042,Yes,0.808,Yes,6,Yes,0.76,-152.85,0.42,1.90,0.00,NONE,Yes,No,2.07,face_yolo_mediapipe,9.9,36.0,True_Positive,
114,30.219,Yes,0.810,Yes,6,Yes,-3.40,-153.59,-1.94,1.88,0.00,NONE,Yes,No,2.25,face_yolo_mediapipe,10.0,35.1,True_Positive,
115,30.398,Yes,0.799,Yes,6,Yes,-0.93,-152.89,-0.28,1.86,0.00,NONE,Yes,No,2.42,face_yolo_mediapipe,9.8,35.7,True_Positive,
116,30.577,Yes,0.796,Yes,6,Yes,-2.13,-153.98,-0.32,1.90,0.00,NONE,Yes,No,2.60,face_yolo_mediapipe,9.7,35.6,True_Positive,
117,30.755,Yes,0.786,Yes,6,Yes,-0.16,-151.21,0.93,1.91,0.00,NONE,Yes,No,2.78,face_yolo_mediapipe,9.9,36.1,True_Positive,
118,30.934,Yes,0.799,Yes,6,Yes,-5.41,-154.29,-1.40,1.91,0.00,NONE,Yes,No,2.96,face_yolo_mediapipe,9.9,36.3,True_Positive,
119,31.111,Yes,0.806,Yes,6,Yes,-0.26,-151.45,1.53,1.89,0.00,NONE,Yes,Yes,3.14,face_yolo_mediapipe,9.9,35.6,True_Positive,
120,31.284,Yes,0.802,Yes,6,Yes,-2.39,-153.10,0.66,1.89,0.00,NONE,Yes,Yes,3.32,face_yolo_mediapipe,10.3,35.3,True_Positive,
121,31.463,Yes,0.802,Yes,6,Yes,-5.45,-153.48,-1.32,1.93,0.00,NONE,Yes,Yes,3.49,face_yolo_mediapipe,9.9,35.9,True_Positive,
122,31.643,Yes,0.824,Yes,6,Yes,-0.58,-151.65,1.21,1.89,0.00,NONE,Yes,Yes,3.67,face_yolo_mediapipe,9.8,36.3,True_Positive,
123,31.822,Yes,0.808,Yes,6,Yes,0.19,-151.75,1.25,1.89,0.00,NONE,Yes,Yes,3.85,face_yolo_mediapipe,9.8,36.5,True_Positive,
124,32.004,Yes,0.802,Yes,6,Yes,-1.62,-152.48,0.63,1.89,0.00,NONE,Yes,Yes,4.03,face_yolo_mediapipe,9.6,35.6,True_Positive,
125,32.187,Yes,0.798,Yes,6,Yes,-0.80,-152.86,0.94,1.90,0.00,NONE,Yes,Yes,4.21,face_yolo_mediapipe,9.5,35.7,True_Positive,
126,32.364,Yes,0.799,Yes,6,Yes,-3.15,-153.42,-0.30,1.88,0.00,NONE,Yes,Yes,4.39,face_yolo_mediapipe,9.8,33.8,True_Positive,
127,32.548,Yes,0.797,Yes,6,Yes,-3.19,-154.38,-0.62,1.88,0.00,NONE,Yes,Yes,4.57,face_yolo_mediapipe,9.5,37.8,True_Positive,
128,32.735,Yes,0.794,Yes,6,Yes,-2.70,-152.54,-0.23,1.90,0.00,NONE,Yes,Yes,4.75,face_yolo_mediapipe,9.4,38.5,True_Positive,
129,32.945,Yes,0.799,Yes,6,Yes,-5.45,-153.30,-2.01,1.90,0.00,NONE,Yes,Yes,4.94,face_yolo_mediapipe,9.4,61.0,True_Positive,
130,33.129,Yes,0.798,Yes,6,Yes,-6.02,-152.94,-1.90,1.91,0.00,NONE,Yes,Yes,5.15,face_yolo_mediapipe,9.7,39.5,True_Positive,
131,33.310,Yes,0.795,Yes,6,Yes,-9.00,-152.82,-2.94,1.90,0.00,NONE,Yes,Yes,5.33,face_yolo_mediapipe,9.8,37.0,True_Positive,
132,33.488,Yes,0.815,Yes,6,Yes,-11.97,-154.03,-3.44,1.93,0.00,NONE,Yes,Yes,5.52,face_yolo_mediapipe,10.1,37.5,True_Positive,
133,33.668,Yes,0.820,Yes,6,Yes,-12.23,-152.68,-3.47,1.90,0.00,NONE,Yes,Yes,5.69,face_yolo_mediapipe,9.9,36.8,True_Positive,
134,33.849,Yes,0.794,Yes,6,Yes,-14.54,-152.63,-3.85,1.91,0.00,NONE,Yes,Yes,5.87,face_yolo_mediapipe,9.6,36.5,True_Positive,
135,34.026,Yes,0.778,Yes,6,Yes,-17.37,-153.91,-3.95,1.96,0.00,NONE,Yes,Yes,6.05,face_yolo_mediapipe,10.0,36.0,True_Positive,
