Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
62,5.718,Yes,0.779,Yes,6,Yes,-17.00,-175.55,-3.10,2.24,0.00,NONE,Yes,No,2.53,face_yolo_mediapipe,58.1,34.7,False_Negative,
63,5.792,Yes,0.783,Yes,6,Yes,-16.77,-175.99,-3.34,2.29,0.00,NONE,Yes,No,2.59,face_yolo_mediapipe,35.1,35.4,True_Positive,
64,5.854,Yes,0.778,Yes,6,Yes,-16.63,-174.89,-3.33,2.24,0.00,NONE,Yes,No,2.67,face_yolo_mediapipe,60.7,35.1,False_Negative,
65,5.915,Yes,0.781,Yes,6,Yes,-16.50,-176.12,-3.45,2.26,0.00,NONE,Yes,No,2.73,face_yolo_mediapipe,60.3,35.2,False_Negative,
66,5.977,Yes,0.777,Yes,6,Yes,-17.02,-175.58,-3.14,2.24,0.00,NONE,Yes,No,2.79,face_yolo_mediapipe,59.1,35.1,False_Negative,
67,6.049,Yes,0.780,Yes,6,Yes,-14.01,-174.82,-3.44,2.24,0.00,NONE,Yes,No,2.85,face_yolo_mediapipe,35.0,34.0,True_Positive,
68,6.110,Yes,0.774,Yes,6,Yes,-15.14,-176.17,-2.68,2.26,0.00,NONE,Yes,No,2.92,face_yolo_mediapipe,58.3,33.9,False_Negative,
69,6.172,Yes,0.770,Yes,6,Yes,-15.97,-174.95,-2.98,2.29,0.00,NONE,Yes,No,2.98,face_yolo_mediapipe,57.2,35.3,False_Negative,
70,6.234,Yes,0.775,Yes,6,Yes,-16.57,-176.84,-2.85,2.26,0.00,NONE,Yes,Yes,3.04,face_yolo_mediapipe,56.9,35.3,False_Negative,
71,6.308,Yes,0.756,Yes,6,Yes,-14.14,-175.72,-2.99,2.26,0.00,NONE,Yes,Yes,3.11,face_yolo_mediapipe,34.7,35.2,True_Positive,
72,6.371,Yes,0.748,Yes,6,Yes,-15.65,-174.38,-3.34,2.29,0.00,NONE,Yes,Yes,3.18,face_yolo_mediapipe,56.5,35.9,False_Negative,
73,6.445,Yes,0.754,Yes,6,Yes,-13.81,-173.28,-3.26,2.26,0.00,NONE,Yes,Yes,3.25,face_yolo_mediapipe,35.7,35.0,True_Positive,
74,6.520,Yes,0.768,Yes,6,Yes,-13.88,-175.57,-3.26,2.26,0.00,NONE,Yes,Yes,3.32,face_yolo_mediapipe,35.4,35.9,True_Positive,
75,6.593,Yes,0.775,Yes,6,Yes,-14.55,-175.82,-3.92,2.16,0.00,NONE,Yes,Yes,3.39,face_yolo_mediapipe,35.4,34.8,True_Positive,
76,6.666,Yes,0.772,Yes,6,Yes,-10.65,-174.67,-3.23,2.16,0.00,NONE,Yes,Yes,3.47,face_yolo_mediapipe,35.4,35.6,True_Positive,
77,6.740,Yes,0.772,Yes,6,Yes,-10.19,-174.69,-2.76,2.24,0.00,NONE,Yes,Yes,3.54,face_yolo_mediapipe,35.4,35.9,True_Positive,
78,6.813,Yes,0.766,Yes,6,Yes,-11.31,-174.53,-2.61,2.29,0.00,NONE,Yes,Yes,3.61,face_yolo_mediapipe,34.7,34.1,True_Positive,
79,6.887,Yes,0.770,Yes,6,Yes,-12.84,-175.98,-2.70,2.29,0.00,NONE,Yes,Yes,3.69,face_yolo_mediapipe,35.0,35.2,True_Positive,
80,6.962,Yes,0.760,Yes,6,Yes,-13.51,-174.39,-2.98,2.26,0.00,NONE,Yes,Yes,3.76,face_yolo_mediapipe,35.3,35.5,True_Positive,
81,7.037,Yes,0.747,Yes,6,Yes,-14.98,-176.01,-2.90,2.24,0.00,NONE,Yes,Yes,3.84,face_yolo_mediapipe,34.7,36.0,True_Positive,
